codigo;nome;codigogrupo;custo;markup;venda;unidade;fator;listapiscofins;aliquota;cfop;ncm;cstpiscofins;valorpmc;codigobarras;subgrupo;categoria;laboratorio;grupodepreco;similar;estoque;descontofixo;comissao;atualizaestoque;demanda;ativo;st;isento;semincidencia;permitedesconto;localizacao;usocontinuo;observacao;descontomax;cest;csosn;csticms;medfciapop;qtdfciapop;valorfciapop;listacontrole;dcb
10001;Dipirona Sodica 500mg 10cp;1;4,50;100,00;9,00;UN;1;NEUTRA;18;5405;30049099;01;9,50;7891000100011;1;1;1;1;;40;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
10002;Paracetamol 750mg 20cp;1;6,00;80,00;10,80;UN;1;NEUTRA;18;5405;30049099;01;11,50;7891000100028;1;1;1;1;;55;0;2;S;20;A;N;N;N;S;A1-P03;N;;10;1300100;102;;N;;;;
10003;Ibuprofeno 600mg 10cp;1;8,50;70,00;14,45;UN;1;NEUTRA;18;5405;30049099;01;15,90;7891000100035;1;1;2;1;;30;0;3;S;8;A;N;N;N;S;A1-P04;N;;10;1300100;102;;N;;;;
10004;Omeprazol 20mg 28cp;1;12,00;60,00;19,20;UN;1;NEUTRA;18;5405;30049099;01;21,00;7891000100042;2;1;1;2;;22;0;4;S;6;A;N;N;N;S;A2-P01;S;;10;1300100;102;;N;;;;
10005;Amoxicilina 500mg 21cp;1;9,00;55,00;13,95;UN;1;NEUTRA;18;5405;30049099;01;14,90;7891000100059;2;1;2;1;;18;0;3;S;5;A;N;N;N;S;A2-P02;N;;10;1300100;102;;N;;;;
10006;Vitamina C 500mg 30cp;1;5,00;75,00;8,75;UN;1;NEUTRA;18;5405;30049099;01;9,90;7891000100066;1;2;1;1;;60;0;2;S;15;A;N;N;N;S;A3-P01;N;;10;1300100;102;;N;;;;
10007;Soro Fisiologico 0,9% 500ml;1;3,20;90,00;6,08;UN;1;NEUTRA;18;5405;30049099;01;6,50;7891000100073;1;2;2;1;;80;0;1;S;25;A;N;N;N;S;A3-P05;N;;10;1300100;102;;N;;;;
20001;Protetor Solar FPS 50 120ml;2;15,00;50,00;22,50;UN;1;NEUTRA;18;5405;33049990;01;24,90;7891000100080;1;2;2;2;;35;0;5;S;10;A;N;N;N;S;B1-P01;N;;10;2001900;102;;N;;;;
20002;Shampoo Anticaspa 400ml;2;7,20;65,00;11,88;UN;1;NEUTRA;18;5405;33051000;01;12,90;7891000100097;1;2;1;1;;48;0;4;S;14;A;N;N;N;S;B1-P02;N;;10;2001900;102;;N;;;;
30001;Fralda Descartavel G 30un;3;22,00;40,00;30,80;CX;1;NEUTRA;18;5405;96190000;01;32,90;7891000100103;1;2;1;2;;25;0;3;S;9;A;N;N;N;S;C1-P01;N;;10;2003900;102;;N;;;;
30002;Absorvente Noturno 16un;3;4,80;85,00;8,88;UN;1;NEUTRA;18;5405;96190000;01;9,50;7891000100110;1;2;2;1;;70;0;2;S;18;A;N;N;N;S;C1-P02;N;;10;2003900;102;;N;;;;
30003;Algodao Hidrofilo 100g;3;2,50;100,00;5,00;UN;1;NEUTRA;18;5405;30059090;01;5,50;7891000100127;1;2;1;1;;90;0;1;S;22;A;N;N;N;S;C2-P01;N;;10;2003900;102;;N;;;;
