codigo;nome;cod_barra;grupo;sub_grupo;categoria;laboratorio;preco_custo;margem;preco_venda;estoque;demanda;desc_fixo;desc_max;com_fixo;fator;ativo;atualiza_estoque;suspender_compra;similar;permite_desconto;aliquota_icms;st;isento;lista_controle;grupo_de_preco;localizacao;uso_continuo;observacao;med_fp;qtd_fp;reg_ms;valor_pmc;ncm;sem_incidencia;lista_pis_cofins;cest;cst_icms;cst_pis_cofins
20001;Cetoprofeno 100mg 20cp;7899000000001;MEDICAMENTO;ANTIINFLAMATORIO;GENERICO;EMS;5,10;96,08;10,00;30;10,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;B1-P01;0;;0;0,000;1.0235.0456.001;11,20;30049099;0;NEUTRA;1300100;000;01
20002;Nimesulida 100mg 12cp;7899000000002;MEDICAMENTO;ANTIINFLAMATORIO;GENERICO;NEO QUIMICA;abc;92,00;9,60;18;6,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;B1-P02;0;;0;0,000;1.0235.0456.002;10,50;30049099;0;NEUTRA;1300100;000;01
;Loratadina 10mg 12cp;7899000000003;MEDICAMENTO;ANTIALERGICO;GENERICO;CIMED;3,80;97,37;7,50;44;15,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;B2-P01;0;;0;0,000;1.0235.0456.003;8,40;30049099;0;NEUTRA;1300100;000;01
20004;Cetirizina 10mg 12cp;7899000000001;MEDICAMENTO;ANTIALERGICO;GENERICO;EUROFARMA;4,20;95,24;8,20;27;9,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;B2-P02;0;;0;0,000;1.0235.0456.004;9,10;30049099;0;NEUTRA;1300100;000;01
20005;Sinvastatina 20mg 30cp;7899000000005;MEDICAMENTO;CARDIOVASCULAR;GENERICO;SANDOZ;11,40;94,74;22,20;52;20,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;C1-P01;1;Uso continuo;0;0,000;1.0235.0456.005;24,00;300490991234;0;NEUTRA;1300100;000;01
20006;Losartana 50mg 30cp;7899000000006;MEDICAMENTO;CARDIOVASCULAR;GENERICO;MEDLEY;9,90;95,96;19,40;61;24,000;0,00;10,00;3,00;1,000;SIM;1;0;1;1;18,00;0;0;;GENERICO;C1-P02;1;Uso continuo;0;0,000;1.0235.0456.006;21,00;30049099;0;NEUTRA;1300100;000;01
20007;Metformina 850mg 30cp;7899000000007;MEDICAMENTO;ANTIDIABETICO;GENERICO;MERCK;8,30;;;38;14,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;C2-P01;1;Uso continuo;0;0,000;1.0235.0456.007;18,00;30049099;0;NEUTRA;1300100;000;01
20008;Glibenclamida 5mg 30cp;7899000000008;MEDICAMENTO;ANTIDIABETICO;GENERICO;SANOFI;6,50;92,1234567;12,50;22;8,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;C2-P02;1;Uso continuo;0;0,000;1.0235.0456.008;13,80;30049099;0;NEUTRA;1300100;000;01
20009;Enalapril 10mg 30cp;7899000000009;MEDICAMENTO;CARDIOVASCULAR;GENERICO;BIOSINTETICA;12345678901234,56;93,00;14,20;19;7,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;C3-P01;1;Uso continuo;0;0,000;1.0235.0456.009;15,60;30049099;0;NEUTRA;1300100;000;01
20010;Medicamento com descricao extremamente longa criada apenas para testar o limite maximo de cento e vinte caracteres da coluna nome no banco toolspharma;7899000000010;MEDICAMENTO;OUTROS;GENERICO;HYPERA;7,10;94,00;13,80;15;5,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;0;0;;GENERICO;C3-P02;0;;0;0,000;1.0235.0456.010;14,90;30049099;0;NEUTRA;1300100;000;01
20011;Ranitidina 150mg 20cp;7899000000011;MEDICAMENTO;GASTROINTESTINAL;GENERICO;TEUTO;5,60;96,43;11,00;33;11,000;0,00;10,00;3,00;1,000;1;1;0;1;1;18,00;talvez;0;;GENERICO;D1-P01;0;;0;0,000;1.0235.0456.011;12,10;30049099;0;NEUTRA;1300100;000;01
20012;Bromoprida 10mg 20cp;7899000000012;MEDICAMENTO;GASTROINTESTINAL;GENERICO;EMS;6,80;94,12;13,20;29;10,000;0,00;10,00;3,00;1,000;N;1;0;1;S;18,00;0;0;;GENERICO;D1-P02;0;;0;0,000;1.0235.0456.012;14,30;30049099;0;NEUTRA;1300100;000;01
