codigo;nome;codigogrupo;custo;markup;venda;fator;listapiscofins;aliquota;cfop;ncm;cstpiscofins;valorpmc;codigobarras;subgrupo;categoria;laboratorio;grupodepreco;similar;estoque;descontofixo;comissao;atualizaestoque;demanda;ativo;st;isento;semincidencia;permitedesconto;localizacao;usocontinuo;observacao;descontomax;cest;csosn;csticms;medfciapop;qtdfciapop;valorfciapop;listacontrole;dcb;registroms;unidemb;unidadesngpc
85001;SANTIDOR (DIPIRONA);1;5,5;60;8,8;1;NEUTRA;18;5102;30049099;1;9,24;7898404220147;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A2-P06;N;normal OTC;10;1300100;;;N;;;;;;;
85002;DIPIRONA;1;4,8;70;8,16;1;NEUTRA;17;5102;30049099;1;8,57;7898404221151;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A3-P07;N;normal OTC;10;1300100;;;N;;;;;;;
85003;NERALGYN (DIPIRONA);1;8;55;12,4;1;NEUTRA;18;5102;30049099;1;13,02;7898158694416;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A4-P08;N;normal OTC;10;1300100;;;N;;;;;;;
85004;DORICIN (DIPIRONA);1;7,5;50;11,25;1;NEUTRA;17;5102;30049099;1;11,81;7896004769011;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A5-P09;N;normal OTC;10;1300100;;;N;;;;;;;
85005;GRIPALCÊ UNO (PARACETAMOL);1;6;65;9,9;1;POSITIVA;18;5102;30049099;1;10,39;7898100244560;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A1-P01;N;normal OTC;10;1300100;;;N;;;;;;;
85006;GRIPALCÊ UNO (PARACETAMOL);1;5,2;70;8,84;1;NEUTRA;17;5102;30049099;1;9,28;7898100244553;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A2-P02;N;normal OTC;10;1300100;;;N;;;;;;;
85007;IBUPROFENO;1;7;60;11,2;1;NEGATIVA;12;5102;30049099;1;11,76;7897406121674;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A3-P03;N;normal OTC;10;1300100;;;N;;;;;;;
85008;ADVIL 12H (IBUPROFENO);1;6,5;55;10,08;1;NEUTRA;18;5102;30049099;1;10,58;7896015592752;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A4-P04;N;normal OTC;10;1300100;;;N;;;;;;;
85009;BESILATO DE ANLODIPINO + LOSARTANA POTÁSSICA (ANLODIPINO);1;9;50;13,5;1;NEUTRA;17;5102;30049099;1;14,18;7896004772141;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A5-P05;S;normal FP;10;1300100;;;S;30;6,75;;;;;
85010;BESILATO DE ANLODIPINO + LOSARTANA POTÁSSICA (ANLODIPINO);1;8,5;55;13,18;1;POSITIVA;18;5102;30049099;1;13,83;7896004772158;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A1-P06;S;normal;10;1300100;;;N;;;;;;;
85011;OMEPRAZOL;1;10;45;14,5;1;NEUTRA;17;5102;30049099;1;15,23;7897406119930;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A2-P07;N;normal;10;1300100;;;N;;;;;;;
85012;OMEPRAZOL;1;9,5;50;14,25;1;NEUTRA;18;5102;30049099;1;14,96;7897406119923;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A3-P08;N;normal;10;1300100;;;N;;;;;;;
85013;VEROTINA (FLUOXETINA);1;12;40;16,8;1;NEUTRA;17;5102;30049099;1;17,64;7896094200494;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A4-P09;N;normal;10;1300100;;;N;;;;;;;
85014;CLORIDRATO DE SERTRALINA (SERTRALINA);1;13;42;18,46;1;POSITIVA;18;5102;30049099;1;19,38;7891317446031;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A5-P01;N;normal;10;1300100;;;N;;;;;;;
85015;RECONTER (ESCITALOPRAM);1;14;40;19,6;1;NEUTRA;17;5102;30049099;1;20,58;7896094207592;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A1-P02;N;normal;10;1300100;;;N;;;;;;;
85016;JOLIK (PREGABALINA);1;18;35;24,3;1;NEUTRA;18;5102;30049099;1;25,52;7896094211728;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A2-P03;N;normal;10;1300100;;;N;;;;;;;
85017;DAMATER (ACETATO DE RACEALFATOCOFEROL);1;3,5;80;6,3;1;NEUTRA;0;5102;30049099;1;6,62;7898687732993;1;2;1;1;;25;0;2;S;5;A;N;S;N;S;A3-P04;N;normal isento;10;1300100;;;N;;;;;;;
85018;PROTOVIT PLUS (ACETATO DE RACEALFATOCOFEROL);1;4;75;7;1;NEUTRA;0;5102;30049099;1;7,35;7891106006132;1;2;1;1;;25;0;2;S;5;A;N;S;N;S;A4-P05;N;normal isento;10;1300100;;;N;;;;;;;
85019;SOLUÇÃO DE RINGER COM LACTATO DE SÓDIO (CLORETO DE CÁLCIO DI-HIDRATADO);1;2,5;90;4,75;1;NEUTRA;0;5102;30049099;1;4,99;7898170784768;1;2;1;1;;25;0;2;S;5;A;N;S;N;S;A5-P06;N;normal isento;10;1300100;;;N;;;;;;;
85020;RINGER (CLORETO DE CÁLCIO DIIDRATADO);1;2,8;85;5,18;1;NEUTRA;0;5102;30049099;1;5,44;7898179364084;1;2;1;1;;25;0;2;S;5;A;N;S;N;S;A1-P07;N;normal isento;10;1300100;;;N;;;;;;;
85021;DIPIRONA SÓDICA (DIPIRONA);1;5;60;8;1;NEGATIVA;12;5102;30049099;1;8,4;7896004715674;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A2-P08;N;normal OTC;10;1300100;;;N;;;;;;;
85022;GRIPALCÊ UNO (PARACETAMOL);1;5,5;65;9,07;1;NEUTRA;17;5102;30049099;1;9,53;7898100244577;1;1;1;1;;25;0;2;S;5;A;N;N;N;S;A3-P09;N;normal OTC;10;1300100;;;N;;;;;;;
