codigo;nome;codigogrupo;custo;markup;venda;fator;listapiscofins;aliquota;cfop;ncm;cstpiscofins;valorpmc;codigobarras;subgrupo;categoria;laboratorio;grupodepreco;similar;estoque;descontofixo;comissao;atualizaestoque;demanda;ativo;st;isento;semincidencia;permitedesconto;localizacao;usocontinuo;observacao;descontomax;cest;csosn;csticms;medfciapop;qtdfciapop;valorfciapop;listacontrole;dcb
10001;Dipirona Sodica 500mg 10cp;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
ABC02;Produto Com Letra No Codigo;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
10003;12345;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
;Sem Codigo;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
10005;Markup Errado;1;10,00;50,00;12,00;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
10006;NCM curto;1;4,50;97,78;8,90;1;NEUTRA;18;5405;123;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
10007;CFOP curto;1;4,50;97,78;8,90;1;NEUTRA;18;54;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
10008;EAN invalido;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;1234567890123;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
10009;ST marcada;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;S;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
10010;Desconto alto;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;20;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
10011;CSOSN e CST;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;000;N;;;;
10012;FP sem qtd;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;S;;;;
10013;Controlado sem DCB;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;A1;
10001;Codigo Duplicado;1;4,50;97,78;8,90;1;NEUTRA;18;5405;30049099;01;9,50;7891234567895;1;1;1;1;;25;0;3;S;12;A;N;N;N;S;A1-P02;N;;10;1300100;102;;N;;;;
